residential_kw,dc_campus_1_kw,dc_campus_2_kw,dc_campus_3_kw
581.6714076000002,5000.0,8000.0,12000.0
581.6714076000002,5000.0,8000.0,12000.0
577.9454076000002,5000.0,8000.0,12000.0
582.9133662000002,5000.0,8000.0,12000.0
582.9133662000002,5000.0,8000.0,12000.0
578.7733662000002,5000.0,8000.0,12000.0
584.9833248000002,5000.0,8000.0,12000.0
583.7413662000001,5000.0,8000.0,12000.0
578.7734076000002,5000.0,8000.0,12000.0
580.0154076000001,5000.0,8000.0,12000.0
585.8113248000002,5000.0,8000.0,12000.0
586.6392834000002,5000.0,8000.0,12000.0
584.5693248000002,5000.0,8000.0,12000.0
577.9454076000002,5000.0,8000.0,12000.0
577.9454076000002,5000.0,8000.0,12000.0
578.7733662000002,5000.0,8000.0,12000.0
583.7413248000001,5000.0,8000.0,12000.0
583.7413248000001,5000.0,8000.0,12000.0
583.7413248000001,5000.0,8000.0,12000.0
572.5634076000001,5000.0,8000.0,12000.0
577.1174076000002,5000.0,8000.0,12000.0
580.0154076000001,5000.0,8000.0,12000.0
581.6713662000002,5000.0,8000.0,12000.0
576.2893662000001,5000.0,8000.0,12000.0
576.2893662000001,5000.0,8000.0,12000.0
577.5313662000002,5000.0,8000.0,12000.0
571.3214490000003,5000.0,8000.0,12000.0
568.0094904000002,5000.0,8000.0,12000.0
580.4294076000001,5000.0,8000.0,12000.0
580.4294076000001,5000.0,8000.0,12000.0
572.1495318000002,5000.0,8000.0,12000.0
572.1495732000002,5000.0,8000.0,12000.0
572.1495732000002,5000.0,8000.0,12000.0
576.7035318000002,5000.0,8000.0,12000.0
570.0795732000003,5000.0,8000.0,12000.0
575.0475318000002,5000.0,8000.0,12000.0
570.0795732000003,5000.0,8000.0,12000.0
573.3915732000003,5000.0,8000.0,12000.0
574.2195318000004,5000.0,8000.0,12000.0
573.8055318000004,5000.0,8000.0,12000.0
573.3915318000003,5000.0,8000.0,12000.0
573.3915318000004,5000.0,8000.0,12000.0
565.1116146000002,5000.0,8000.0,12000.0
571.3215732000002,5000.0,8000.0,12000.0
563.0416974000003,5000.0,8000.0,12000.0
568.4236974000003,5000.0,8000.0,12000.0
563.4557388000003,5000.0,8000.0,12000.0
568.4236974000003,5000.0,8000.0,12000.0
568.4236974000003,5000.0,8000.0,12000.0
568.4236974000003,5000.0,8000.0,12000.0
566.7677388000003,5000.0,8000.0,12000.0
561.7997802000002,5000.0,8000.0,12000.0
557.2457802000002,5000.0,8000.0,12000.0
572.1496146000002,5000.0,8000.0,12000.0
572.1496146000002,5000.0,8000.0,12000.0
570.4936974000003,5000.0,8000.0,12000.0
570.4936974000003,5000.0,8000.0,12000.0
570.4936974000003,5000.0,8000.0,12000.0
558.4877388000002,5000.0,8000.0,12000.0
582.5016432000006,5000.0,8000.0,12000.0
575.0496846000005,5000.0,8000.0,12000.0
579.6037260000005,5000.0,8000.0,12000.0
568.0118502000005,5000.0,8000.0,12000.0
579.6037260000005,5000.0,8000.0,12000.0
577.1198088000006,5000.0,8000.0,12000.0
572.9798502000004,5000.0,8000.0,12000.0
584.5716846000005,5000.0,8000.0,12000.0
574.6357674000005,5000.0,8000.0,12000.0
582.5017674000005,5000.0,8000.0,12000.0
