minute,load_kw
630,612.8877859200002
631,612.88778592
632,615.0405693600002
633,614.3781776400002
634,615.2889693600002
635,616.4481610800001
636,616.6137610800002
637,616.6137610800002
638,620.4225279600001
639,621.0849279600001
640,619.2633445200001
641,620.2569362400002
642,620.2569362400002
643,620.8365279600002
644,620.5881196800002
645,627.2948782800001
646,631.1864617200002
647,637.6448203200002
648,643.5235872000002
649,649.8163540800002
650,651.9691292400003
651,652.7143209600001
652,652.1347292400003
653,651.5551375200002
654,651.9691375200002
655,650.8099540800002
656,646.7527623600002
657,638.2244037600001
658,631.9316286000003
659,627.2120368800003
660,622.4924451600002
661,623.0720368800003
662,627.0464037600002
663,628.5367872000002
664,629.6959789200002
665,629.86157892
666,634.1671706400001
667,642.8611458000001
668,651.8035209600001
669,659.0899126800002
670,668.9430795600001
671,674.6562547200002
672,673.8282630000001
673,678.5478547200001
674,682.6878464400002
675,685.0890547200001
676,692.2098464400002
677,696.1842381600003
678,694.6110464400002
679,693.4518547200003
680,688.2354961200002
681,677.1403375200002
682,672.4207540800003
683,667.7011706400002
684,663.7267789200001
685,664.7203458000001
686,667.1215292400001
687,669.2743126800001
688,670.4335044000002
689,675.1530878400001
690,681.1146630000001
691,686.2482464400002
692,692.1270216000001
693,694.8593967600002
694,693.8657802000001
695,690.8849802000002
696,686.0825884800001
697,675.4014216000002
698,678.3822216000001
699,682.5222133200001
700,685.9998050400002
701,691.8785802000002
702,703.1393388000001
703,705.4577139600002
704,706.0373056800001
